title,category,upc,product_type,price_excl,price_incl,tax,no_of_reviews,stock_availability,available_count
"We Love You, Charlie Freeman",Fiction,8d455c7539795d2a,Books,50.27,50.27,0.0,0,In stock,16
Untitled Collection: Sabbath Poems 2014,Poetry,657fe5ead67a7767,Books,14.27,14.27,0.0,0,In stock,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,d170b5a0da46380e,Books,44.18,44.18,0.0,0,In stock,16
Unicorn Tracks,Fantasy,7ae099f3898e0209,Books,18.78,18.78,0.0,0,In stock,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,9a9d6e9bc555731e,Books,25.52,25.52,0.0,0,In stock,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,09555be379ad9253,Books,16.28,16.28,0.0,0,In stock,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,7858914fad68493c,Books,31.12,31.12,0.0,0,In stock,16
This One Summer,Sequential Art,51653ef291ab7ddc,Books,19.49,19.49,0.0,0,In stock,16
Thirst,Fiction,709822d0b5bcb7f4,Books,17.27,17.27,0.0,0,In stock,16
The Torch Is Passed: A Harding Family Story,Add a comment,4eed62cf5f8d8edf,Books,19.09,19.09,0.0,0,In stock,16
The Secret of Dreadwillow Carse,Childrens,b5ea0b5dabed25a8,Books,56.13,56.13,0.0,0,In stock,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,142d767a56a9254d,Books,56.41,56.41,0.0,0,In stock,16
The Past Never Ends,Mystery,5ee94540d0749ea0,Books,56.5,56.5,0.0,0,In stock,16
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,cedf82b5086e4691,Books,45.22,45.22,0.0,0,In stock,16
The Nameless City (The Nameless City #1),Sequential Art,7d385d34d12e60ff,Books,38.16,38.16,0.0,0,In stock,16
The Murder That Never Was (Forensic Instincts #5),Fiction,d01ac97e2b8947c2,Books,54.11,54.11,0.0,0,In stock,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,aadee1c326d286e3,Books,42.96,42.96,0.0,0,In stock,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,31075275518532d7,Books,23.89,23.89,0.0,0,In stock,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,0da9aa9d24677fc0,Books,16.77,16.77,0.0,0,In stock,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,8c9e6bf2467d740d,Books,20.59,20.59,0.0,0,In stock,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,acd86a5426e21ca0,Books,37.13,37.13,0.0,0,In stock,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,a30b270e25489e5c,Books,56.06,56.06,0.0,0,In stock,16
The Death of Humanity: and the Case for Life,Philosophy,bd261725b99f5983,Books,58.11,58.11,0.0,0,In stock,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,43c6a960757cf559,Books,49.05,49.05,0.0,0,In stock,16
The Art Forger,Add a comment,80cfab6bcff3a244,Books,40.76,40.76,0.0,0,In stock,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,a3d2a4250807f1e9,Books,19.73,19.73,0.0,0,In stock,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,7d6d2a6c0276f81b,Books,32.24,32.24,0.0,0,In stock,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,87b0615b6e1f4d7b,Books,41.83,41.83,0.0,0,In stock,16
Soul Reader,Default,e6af5bf1163c1151,Books,39.58,39.58,0.0,0,In stock,16
Security,Horror,6f78a0d744c35456,Books,39.25,39.25,0.0,0,In stock,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,c849f0b2f5d6a742,Books,25.02,25.02,0.0,0,In stock,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,53a3d11bb568cc8b,Books,51.04,51.04,0.0,0,In stock,16
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,d7310206583a54b6,Books,19.83,19.83,0.0,0,In stock,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,c82a3e358c773c73,Books,50.4,50.4,0.0,0,In stock,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,0fa6dceead7ce47a,Books,13.61,13.61,0.0,0,In stock,16
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,0e691eda369f4e09,Books,13.34,13.34,0.0,0,In stock,16
"Pop Gun War, Volume 1: Gift",Sequential Art,e80f8e518b300dfe,Books,18.97,18.97,0.0,0,In stock,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,7392c0032f92d816,Books,36.28,36.28,0.0,0,In stock,16
Patience,Sequential Art,9429b4d59c537af5,Books,10.16,10.16,0.0,0,In stock,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,889139b8e9c4cb36,Books,15.44,15.44,0.0,0,In stock,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,11809b1d323b3057,Books,48.41,48.41,0.0,0,In stock,16
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,9ffa38d3b832433a,Books,46.35,46.35,0.0,0,In stock,16
On a Midnight Clear,Add a comment,b757c0c361e689ce,Books,14.07,14.07,0.0,0,In stock,16
Obsidian (Lux #1),Young Adult,3c346ab1e76ae1f6,Books,14.86,14.86,0.0,0,In stock,16
My Paris Kitchen: Recipes and Stories,Food and Drink,784bc2279baa878d,Books,33.37,33.37,0.0,0,In stock,16
Masks and Shadows,Fantasy,fa9610a50a1bf149,Books,56.4,56.4,0.0,0,In stock,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,72f9d5be3472d34e,Books,14.02,14.02,0.0,0,In stock,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,460089f796fb3f82,Books,46.91,46.91,0.0,0,In stock,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,b6ee99bcf06fc91f,Books,45.61,45.61,0.0,0,In stock,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,57e5a4d515c8ce44,Books,19.92,19.92,0.0,0,In stock,16
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,7b75cc7f223791f4,Books,40.11,40.11,0.0,0,In stock,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,228f74b74f3a08ae,Books,53.9,53.9,0.0,0,In stock,16
Join,Science Fiction,18ad3ed896c7ce05,Books,35.67,35.67,0.0,0,In stock,16
In the Country We Love: My Family Divided,Nonfiction,b136b1b180ca753a,Books,22.0,22.0,0.0,0,In stock,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,e4f74c16de34d440,Books,57.36,57.36,0.0,0,In stock,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,8d4eefad7a2b3915,Books,29.17,29.17,0.0,0,In stock,16
I am a Hero Omnibus Volume 1,Sequential Art,1c89ae5bb804e4de,Books,54.63,54.63,0.0,0,In stock,16
How to Be Miserable: 40 Strategies You Already Use,Self Help,a6f99b9e687f9d46,Books,46.03,46.03,0.0,0,In stock,16
Her Backup Boyfriend (The Sorensen Family #1),Romance,2a97cffe61c3c4c7,Books,33.97,33.97,0.0,0,In stock,16
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,f2df3bb043a8abb0,Books,22.11,22.11,0.0,0,In stock,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,9beb96a2300109d7,Books,29.69,29.69,0.0,0,In stock,16
First and First (Five Boroughs #3),Romance,9e28048cea8d41f7,Books,15.97,15.97,0.0,0,In stock,16
Fifty Shades Darker (Fifty Shades #2),Romance,7add3f8e49ec0826,Books,21.96,21.96,0.0,0,In stock,16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,311c0dd0e354a33e,Books,54.35,54.35,0.0,0,In stock,16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,fce19f9b4a943f22,Books,37.97,37.97,0.0,0,In stock,16
Danganronpa Volume 1,Sequential Art,09b6cc87e62c2c58,Books,51.99,51.99,0.0,0,In stock,16
Crown of Midnight (Throne of Glass #2),Fantasy,7267864328ae8b9d,Books,43.29,43.29,0.0,0,In stock,16
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,8754c83ab2a7ae71,Books,36.72,36.72,0.0,0,In stock,16
Camp Midnight,Sequential Art,7b599c8bfcdd8d30,Books,17.08,17.08,0.0,0,In stock,16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,bee3672891cca906,Books,29.14,29.14,0.0,0,In stock,16
Burning,Young Adult,5ceb951f629700a2,Books,28.81,28.81,0.0,0,In stock,16
Bossypants,Default,74baabfc8fd84b38,Books,49.46,49.46,0.0,0,In stock,16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,bdf415fd484ea8a7,Books,37.92,37.92,0.0,0,In stock,16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,6d5300b2d8f37e07,Books,28.09,28.09,0.0,0,In stock,16
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,38d45839cb1c83c1,Books,30.81,30.81,0.0,0,In stock,16
A World of Flavor: Your Gluten Free Passport,Default,70ed59f194b3c556,Books,42.95,42.95,0.0,0,In stock,16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,8a380641491d43ed,Books,56.76,56.76,0.0,0,In stock,16
A Murder in Time,Mystery,f733e8c19d40ec2e,Books,16.64,16.64,0.0,0,In stock,16
A Flight of Arrows (The Pathfinders #2),Historical Fiction,3a6fb983e2554023,Books,55.53,55.53,0.0,0,In stock,16
A Fierce and Subtle Poison,Young Adult,842790dfaa937484,Books,28.13,28.13,0.0,0,In stock,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,01d2001ac1e6f8a3,Books,52.37,52.37,0.0,0,In stock,16
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,e4ac92d89b946781,Books,54.0,54.0,0.0,0,In stock,16
You Are What You Love: The Spiritual Power of Habit,Religion,796c87ddbbaaf8c5,Books,21.87,21.87,0.0,0,In stock,15
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,9270575728a13a61,Books,43.3,43.3,0.0,0,In stock,15
Tuesday Nights in 1980,Fiction,b8736690cf263a3c,Books,21.04,21.04,0.0,0,In stock,15
Tracing Numbers on a Train,Default,d7d6d50c1e3d0b81,Books,41.6,41.6,0.0,0,In stock,15
Throne of Glass (Throne of Glass #1),Fantasy,590a9cccf7db9f7d,Books,35.07,35.07,0.0,0,In stock,15
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,de3f25248ba0789f,Books,59.64,59.64,0.0,0,In stock,15
Thirteen Reasons Why,Default,bc2a85fd35fdc7bd,Books,52.72,52.72,0.0,0,In stock,15
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,37c0cb19713d8dda,Books,58.08,58.08,0.0,0,In stock,15
The Wedding Dress,Romance,623e1a180426039b,Books,24.12,24.12,0.0,0,In stock,15
The Vacationers,Fiction,fd3a622648667296,Books,42.15,42.15,0.0,0,In stock,15
The Third Wave: An Entrepreneurâs Vision of the Future,Business,3bebf34ee9330cbd,Books,12.61,12.61,0.0,0,In stock,15
The Stranger,Philosophy,f5a92cff83897d48,Books,17.44,17.44,0.0,0,In stock,15
The Shadow Hero (The Shadow Hero),Sequential Art,d6361d16212664ed,Books,33.14,33.14,0.0,0,In stock,15
The Secret (The Secret #1),Default,961f18db4f138211,Books,27.37,27.37,0.0,0,In stock,15
The Regional Office Is Under Attack!,Fiction,0651062381f0636a,Books,51.36,51.36,0.0,0,In stock,15
The Psychopath Test: A Journey Through the Madness Industry,Default,e98a4efa85070c2f,Books,36.0,36.0,0.0,0,In stock,15
The Project,Science Fiction,790ef197c8f236f5,Books,10.65,10.65,0.0,0,In stock,15
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,8ec14b1576cb7cb5,Books,43.54,43.54,0.0,0,In stock,15
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,209adad1015af86f,Books,38.21,38.21,0.0,0,In stock,15
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,e4c7f3487d17fd42,Books,37.34,37.34,0.0,0,In stock,15
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,c7b5183f4d1d4efe,Books,44.1,44.1,0.0,0,In stock,15
The Mistake (Off-Campus #2),New Adult,99ff4cc6491e8f5c,Books,43.29,43.29,0.0,0,In stock,15
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,08db62f24627e71f,Books,55.85,55.85,0.0,0,In stock,15
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,e28e330cbdf01126,Books,37.6,37.6,0.0,0,In stock,15
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,abeafe151a587d3b,Books,10.97,10.97,0.0,0,In stock,15
The Kite Runner,Default,eac1a180047ad54e,Books,41.82,41.82,0.0,0,In stock,15
The House by the Lake,Historical Fiction,9287e238d7c3b06e,Books,36.95,36.95,0.0,0,In stock,15
The Glittering Court (The Glittering Court #1),Fantasy,2dbb7ec08cdd7f3c,Books,44.28,44.28,0.0,0,In stock,15
The Girl on the Train,Default,e956d67c9bcc5809,Books,55.02,55.02,0.0,0,In stock,15
The Genius of Birds,Nonfiction,42d0d7c92b75fc1c,Books,17.24,17.24,0.0,0,In stock,15
The Emerald Mystery,Default,d6670dfe3e7b42bd,Books,23.15,23.15,0.0,0,In stock,15
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,96a38e7c813d8f1d,Books,41.25,41.25,0.0,0,In stock,15
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,efc3768127714ec3,Books,32.0,32.0,0.0,0,In stock,15
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,dd047728de72ad62,Books,38.49,38.49,0.0,0,In stock,15
The Art of War,Default,e7469e22b5bfb3e7,Books,33.34,33.34,0.0,0,In stock,15
The Argonauts,Autobiography,c99761a700ade23f,Books,10.93,10.93,0.0,0,In stock,15
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,56e4f9eab2e8e674,Books,27.55,27.55,0.0,0,In stock,15
Suddenly in Love (Lake Haven #1),Romance,203b7f94b7d6115f,Books,55.99,55.99,0.0,0,In stock,15
Something More Than This,Romance,ca71e72655bece85,Books,16.24,16.24,0.0,0,In stock,15
Soft Apocalypse,Science Fiction,2a70769cdc6eb8b8,Books,26.12,26.12,0.0,0,In stock,15
So You've Been Publicly Shamed,Nonfiction,1b33663ad7b95fd8,Books,12.23,12.23,0.0,0,In stock,15
Shoe Dog: A Memoir by the Creator of NIKE,Business,0e0dcc3339602b28,Books,23.99,23.99,0.0,0,In stock,15
"Shobu Samurai, Project Aryoku (#3)",Add a comment,0c27e6c3744fc14b,Books,29.06,29.06,0.0,0,In stock,15
Secrets and Lace (Fatal Hearts #1),Default,ad04ad9fc179fc5d,Books,20.27,20.27,0.0,0,In stock,15
Scarlett Epstein Hates It Here,Young Adult,1c929cfd16b71907,Books,43.55,43.55,0.0,0,In stock,15
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,e656e280bc8edd56,Books,36.94,36.94,0.0,0,In stock,15
Redeeming Love,Christian Fiction,b53db2271c9624f7,Books,20.47,20.47,0.0,0,In stock,15
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,d9c643fa1fc57bdb,Books,41.06,41.06,0.0,0,In stock,15
Poems That Make Grown Women Cry,Poetry,31001a1210623bd4,Books,14.19,14.19,0.0,0,In stock,15
"Nightingale, Sing",Young Adult,50b8f80311b31ede,Books,38.28,38.28,0.0,0,In stock,15
Night Sky with Exit Wounds,Poetry,cfeb1e1e0e695b58,Books,41.05,41.05,0.0,0,In stock,15
Mrs. Houdini,Historical Fiction,a40723994f715420,Books,30.25,30.25,0.0,0,In stock,15
Modern Romance,Add a comment,caf4fe9311f1dc59,Books,28.26,28.26,0.0,0,In stock,15
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,af96613fdd793a3c,Books,10.76,10.76,0.0,0,In stock,15
Louisa: The Extraordinary Life of Mrs. Adams,Biography,d69dd8dac66f9f84,Books,16.85,16.85,0.0,0,In stock,15
Little Red,Childrens,4aa03792b50f0b22,Books,13.47,13.47,0.0,0,In stock,15
Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,ba54932df84e8cea,Books,48.56,48.56,0.0,0,In stock,15
Large Print Heart of the Pride,Default,c1afd71fc86bf682,Books,19.15,19.15,0.0,0,In stock,15
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,fd8585283fc7d2d7,Books,57.36,57.36,0.0,0,In stock,15
Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,4ce91d31c1e57c33,Books,42.98,42.98,0.0,0,In stock,15
Grumbles,Default,d163dd6c352fbcd2,Books,22.16,22.16,0.0,0,In stock,15
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,ce60436f52c5ee68,Books,49.43,49.43,0.0,0,In stock,15
Frostbite (Vampire Academy #2),Young Adult,116a2fdc9a45bab0,Books,29.99,29.99,0.0,0,In stock,15
Follow You Home,Horror,8585760646e3aa2a,Books,21.36,21.36,0.0,0,In stock,15
First Steps for New Christians (Print Edition),Default,2f88b08bf0a0e367,Books,29.0,29.0,0.0,0,In stock,15
Finders Keepers (Bill Hodges Trilogy #2),Fiction,edb3097e71330040,Books,53.53,53.53,0.0,0,In stock,15
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,65d034adf80834b7,Books,41.62,41.62,0.0,0,In stock,15
Eureka Trivia 6.0,Default,29c0025455f8c585,Books,54.59,54.59,0.0,0,In stock,15
Drive: The Surprising Truth About What Motivates Us,Default,6ffb36aaeff1c81e,Books,34.95,34.95,0.0,0,In stock,15
Done Rubbed Out (Reightman & Bailey #1),Default,f6d967cdadc6fbd9,Books,37.72,37.72,0.0,0,In stock,15
Doing It Over (Most Likely To #1),Romance,3a11bb962ff45b78,Books,35.61,35.61,0.0,0,In stock,15
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,46c1530d7546ea6d,Books,42.16,42.16,0.0,0,In stock,15
Dark Notes,Erotica,88c21fcd38e2486e,Books,19.19,19.19,0.0,0,In stock,15
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,3b9a3b4624b7fd6d,Books,19.43,19.43,0.0,0,In stock,15
Close to You,Christian Fiction,a57b1dcbd6849222,Books,49.46,49.46,0.0,0,In stock,15
Chasing Heaven: What Dying Taught Me About Living,Spirituality,513271dadc1322ae,Books,37.8,37.8,0.0,0,In stock,15
Big Magic: Creative Living Beyond Fear,Nonfiction,1f329c2e7d7de8bd,Books,30.8,30.8,0.0,0,In stock,15
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,919e7cb2269a25d2,Books,27.43,27.43,0.0,0,In stock,15
Beauty Restored (Riley Family Legacy Novellas #3),Default,3f69e667a67e54d9,Books,11.11,11.11,0.0,0,In stock,15
Batman: The Long Halloween (Batman),Sequential Art,7edc0527cf782e19,Books,36.5,36.5,0.0,0,In stock,15
Batman: The Dark Knight Returns (Batman),Sequential Art,47271d8e08b5d31c,Books,15.38,15.38,0.0,0,In stock,15
Ayumi's Violin,Default,05f7c6d9a4e582d3,Books,15.48,15.48,0.0,0,In stock,15
Anonymous,Default,d24b829be2ca81c4,Books,46.82,46.82,0.0,0,In stock,15
Amy Meets the Saints and Sages,Default,7ebfa6c1bee69e1e,Books,18.46,18.46,0.0,0,In stock,15
Amid the Chaos,Cultural,bb8245f52c7cce8f,Books,36.58,36.58,0.0,0,In stock,15
Amatus,Default,ffd54178acc9a6a5,Books,50.54,50.54,0.0,0,In stock,15
Agnostic: A Spirited Manifesto,Nonfiction,d195e7f4ed697350,Books,12.51,12.51,0.0,0,In stock,15
Zealot: The Life and Times of Jesus of Nazareth,History,dd5bfa6cc2c0ecc3,Books,24.7,24.7,0.0,0,In stock,14
You (You #1),Thriller,024387ca4cafd5cc,Books,43.61,43.61,0.0,0,In stock,14
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,047097293bb4d1c0,Books,37.34,37.34,0.0,0,In stock,14
Wild Swans,Young Adult,3fb15ace50d6142b,Books,14.36,14.36,0.0,0,In stock,14
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,2b5054a4192e9b06,Books,52.65,52.65,0.0,0,In stock,14
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,44a10f1ac8ce822e,Books,38.2,38.2,0.0,0,In stock,14
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,6fd646a334e6e133,Books,19.6,19.6,0.0,0,In stock,14
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,92275cedf6d8ee15,Books,53.9,53.9,0.0,0,In stock,14
Walt Disney's Alice in Wonderland,Childrens,6a31307a81e8f3a8,Books,12.96,12.96,0.0,0,In stock,14
